0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19 :1510
14,5,11,2,19,3,0,15,16,10,7,1,6,9,4,18,8,12,13,17 :1447
11,18,6,0,5,7,9,17,19,15,16,1,8,10,4,12,2,3,13,14 :1451
14,17,3,1,6,15,19,4,5,8,12,7,9,0,18,11,10,13,2,16 :1453
10,17,11,18,16,19,12,4,3,8,7,14,13,6,5,0,15,1,2,9 :1458
13,9,7,12,11,1,2,3,14,19,18,6,8,15,16,10,5,4,0,17 :1460
15,0,13,8,11,18,16,17,14,19,2,12,1,7,10,5,4,6,9,3 :1465
7,11,14,6,5,9,8,10,0,4,3,2,1,17,19,15,13,16,18,12 :1486
8,11,1,9,17,5,16,10,6,3,14,12,15,4,7,2,0,19,18,13 :1487
17,1,14,6,13,15,8,4,18,0,12,10,9,16,7,5,19,11,2,3 :1491
8,0,2,16,9,18,10,11,12,4,1,15,19,3,13,14,5,7,6,17 :1494
14,10,1,18,15,9,19,12,16,3,17,8,0,11,4,5,2,6,13,7 :1499
14,9,15,3,17,19,5,10,1,11,13,7,16,18,12,4,6,2,8,0 :1509
12,18,11,7,15,0,3,19,5,16,17,1,6,2,13,8,4,9,14,10 :1515
1,11,2,4,15,7,14,8,10,12,17,5,13,0,16,19,18,6,9,3 :1522
17,8,5,6,19,10,15,4,1,7,13,2,0,16,12,9,11,14,18,3 :1525
12,10,1,18,7,8,5,16,17,6,11,14,3,15,9,0,2,13,19,4 :1528
16,13,11,1,5,12,7,19,10,4,3,14,9,8,18,15,2,17,6,0 :1538
16,19,5,10,8,11,2,4,6,18,7,0,3,15,13,9,12,14,17,1 :1543
1,7,6,0,3,8,9,12,19,5,18,13,16,17,10,15,14,11,2,4 :1549

11,18,3,0,5,7,9,17,19,15,14,4,1,6,8,12,10,13,2,16 :1411
5,3,0,15,11,18,16,17,14,19,2,12,1,7,10,6,9,4,8,13 :1419
14,17,3,1,6,15,19,4,5,8,11,18,0,7,9,16,10,12,2,13 :1420
0,13,11,18,17,14,7,5,19,15,16,1,8,10,4,12,2,3,6,9 :1425
6,0,5,7,9,18,10,11,12,4,1,15,19,3,13,17,16,8,2,14 :1425
14,11,2,1,6,15,19,4,5,8,12,7,9,3,0,16,10,18,13,17 :1428
14,18,6,0,5,7,9,17,19,15,16,3,10,1,11,13,12,4,2,8 :1432
17,8,5,6,19,10,15,4,1,7,11,9,16,3,14,12,2,0,18,13 :1443
11,18,0,9,17,15,16,8,14,19,2,12,1,7,10,5,4,6,3,13 :1448
11,18,12,3,14,7,9,17,19,15,16,1,8,10,4,13,6,5,0,2 :1450
13,8,11,18,19,3,0,15,16,10,7,1,6,9,17,14,2,12,5,4 :1452
0,2,18,11,12,7,9,17,3,15,16,19,8,10,4,1,13,14,5,6 :1477
14,17,4,2,19,3,0,15,16,10,7,1,6,5,8,12,9,18,11,13 :1481
14,11,6,0,5,7,9,17,19,15,16,1,2,3,10,4,18,8,12,13 :1484
7,11,14,6,5,9,8,10,0,4,3,2,1,17,19,15,13,16,18,12 :1486
8,11,1,9,17,5,16,10,6,3,14,12,15,4,7,2,0,19,18,13 :1487
17,19,3,8,14,5,0,10,1,11,13,7,16,18,12,4,6,15,2,9 :1493
9,17,19,10,1,11,16,4,3,8,7,14,13,6,5,0,15,18,12,2 :1519
11,18,0,9,17,19,12,4,3,8,7,14,13,6,5,15,16,1,10,2 :1521
8,11,10,9,17,5,16,14,6,3,19,15,4,7,13,2,0,12,1,18 :1532

13,8,5,6,19,10,15,4,1,7,11,18,3,0,16,9,17,14,2,12 :1388
5,3,0,11,17,15,16,8,14,19,2,12,1,7,18,10,6,9,4,13 :1398
17,8,11,18,19,3,0,15,16,10,7,5,6,4,1,9,14,12,2,13 :1407
